昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
入秋 残暑 退|向晚 病 心清|露叶 和 萤坠|风条 杂 鹳鸣
又因 寒食 此中 来|窗户 虚明 绝点 埃|山里 春风 无闲 断|海棠 开过 地 棠开
骏马 看花 春 寂寂|长檠 烧烛 夜 寥寥|一飞 更上 金銮 去|满袖 香烟 散 早朝
生长 幽方 惯 战袍|少年 自许 五原 豪|沙堤 榆柳 春 仍绿|走马 清阴 弄 宝刀
时行 仍 髣髴|度日 更 分明|不敢 频 倾耳|唯忧 白 发生
连疏 西 湖上|扁舟 颖 水滨|一从 书 乙亥|岁岁 两眉 颦
有月 何须 烛|无云 不怕 风|借谁 竿 百尺|光照 九天 中
危峦 栖 逸鹤|浅濑 跕 飞鸢|莫愠 芙蓉 老|不如 薋菉 妍
静依 青藓 片|闲缀 绿莎 枝|繁艳 根枝 在|明年 向此 期
柴门 倒锁 应 高卧|草阁 斜开 岂 避人|酒禁 近来 尤甚 紧|从谁 颠倒 性情 真
世事 终难 鉴|菱花 亦有 尘|东风 原上 草|不觉 又 生春
吴宫 旧有 名|阅武 事非 轻|金鼓 从天 落|戈鍪 照雪 明
何须 纸上 十分 名|且乐 尊前 现在 情|两鬓 雪霜 心尚 骇|万般 情伪 老方 更
察廉 无 遁物|刺举 有 能名|宣室 今 前席|宁庸 羡 贾生
粉黛 连宵 皆 好月|管弦 逐日 有 娇莺|天公 乞与 百年 活|肯向 西方 觅 化城
桃花 产 灵洞|开落 已 千秋|欲觅 栽 人处|唯看 水 上流
锦袍 昔是 诗成 得|别墅 今非 棋赌 来|山蔚 蓝光 交抱 舍|水桃 花色 合围 台
观河 自叹 尘容 老|就日 那能 鬓雪 消|煨芋 拥炉 谈 妙道|阶梯 佛祖 直须 超
名驹 蹀躞 黄金 勒|乳燕 呢喃 白玉 梁|斟酌 章台 人在 否|罗巾 犹护 百花 香
伤心 已讶 千林 绿|转眼 还看 万叶 丹|节去 节来 君 莫问|诗盟 从此 勿令 寒
伸缩 一双 手|去来 三世 身|新丰 惊 昨梦|斗酒 满怀 春
架竹 引 龙须|时攀 颔下 珠|欲求 西域 种|北使 昔同 符
暮云 双阙 凤|春竹 万家 莺|故老 思 丰沛|抽毫 赋 两京
红莲 照水 香 仍旧|绯枣 团秋 味 正圆|兰玉 已堪 华 晚节|更寻 小圃 菊花 天
岩石 凝清 粹|端然 绝世 珍|声清 轻 楚玉|色润 胜 燕珉
荷香 时傍 清樽 落|菱蔓 遥迎 画舸 开|行到 南亭 莫 回首|绿杨 阴外 即 风埃
云日 添寒 惨|笳箫 向晚 悲|因山 有 遗诏|如葬 汉文 时
病起 发 全白|梅花 同 皓然|孤生 霜蒂 弱|半槁 玉颜 妍
春心 不 自持|春事 正 相宜|蝴蝶 飘园 粉|蜘蛛 罥牖 丝
身世 频频 催 白日|文星 恰恰 照 南陲|一樽 相送 情 难尽|手擘 轻红 饯 荔枝
满院 莳花 媚 风日|十年 树木 拂 云烟|劝君 莫负 春光 好|带醉 楼头 抱月 眠
百灵 开 岱岳|万里 到 孤心|玉蝶 藏青 霭|金函 閟碧 岑
叶寒 凋 欲尽|泉冻 落 还迟|即此 天明 去|重来 未有 期
逆旅 相逢 意 惘然|十年 魂梦 一 灯前|虽教 乍见 相 分手|犹胜 山阴 夜雪 船
啁啾 野雀 遗 寒毳|拨剌 潜鱼 露 戏鳃|物物 恼人 俱 入咏|使君 争奈 乏 天才
招提 行 问道|末学 倦 编蒲|不际 方 为际|应无 令 尽无
高龛 险 欲催|百尺 洞门 开|白日 仙 何在|清风 客 暂来
坏道 哀湍 鬼火 青|山间 留得 观冲 名|仙宫 分置 玄真 像|想见 开元 旧 太平
每惜 年华 易|风灯 与凿 光|心情 成 老大|世态 只 炎凉
潘岳 河阳 花 立尽|陶潜 彭泽 柳 随空|唯君 独负 坚刚 操|何异 灵椿 与 夏虫
乐天 曾谪 此 江边|已叹 天涯 涕 泫然|今日 始知 予 罪大|夷陵 此去 更 三千
岛烟 常至 晏 方开|沙际 参差 辨远 桅|风挟 寒声 从树 起|潮分 末势 过桥 来
环辙 已偿 行去 脚|拥书 更结 未来 因|石湖 虽有 闲 风月|谁许 深偿 寂寞 滨
恨未 携琴 至|空闻 流水 声|古人 不 相见|山月 此 时明
近看 青山 却 朗然|更无 半点 雾 和烟|一峰 是石 高 多少|到得 峰头 即 到天
乌啼 杨柳 仍 芳树|鸥阅 风波 有 定身|骠骑 武安 门第 改|一帘 烟月 未全 贫
仙湖 街口 月 徘徊|暂醉 兰陵 酒 百杯|横海 勋名 何足 异|罗浮 山色 帐前 来
尽日 行 还歇|迟迟 独上 山|攀藤 老 筋力|照水 病 容颜
吾爱 吾庐 好|临池 构 小亭|无人 致 青李|有客 觅 黄庭
今宵 明早 为 新岁|明早 今宵 是 旧年|却羡 山中 无 历日|循环 只认 月亏 圆
太息 疗贫 地|深藏 有此 煤|山随 车轨 远|井向 矿苗 开
万峰 环 一岛|孤月 照 芳洲|兴为 江湖 远|珊瑚 拂 钓钩
袅袅 银河 低 案户|涂涂 玉露 稍 沾衣|季鹰 元不 营 当世|岂为 鲈鱼 始 忆归
独上 层楼 风满 胸|扶天 欢惜 世人 庸|烟波 隐隐 思 黄鹤|客路 茫茫 听 梵钟
心事 凄凉 寄 雁声|石田 苔满 未妨 耕|西风 戍角 催年 换|残夜 江楼 见日 生
清涵 藻荇 披 幽涧|冷照 鱼龙 戏 浅沙|夜静 村庐 疏雨 外|箫吹 隔岸 半 渔家
万事 已 弹指|心犹 不尽 违|湖山 堪 久住|虾菜 便 忘归
二疏 方 告老|四皓 尽 归山|蔼蔼 都门 别|仍看 衣锦 还
玉局 柳高 含 古意|金沙 梅老 冷 吟魂|凭高 讨胜 多 幽事|细读 残碑 剥 藓痕
百岁 光阴 殊 迅速|满堂 金玉 谩 赢馀|岂无 白日 升天 事|未有 阴功 紫府 书
野驿 人稀 到|空庭 草 自生|霜清 殊 未觉|雨细 更含 晴
作客 宣城 去|何时 揽辔 还|亦知 非 别久|无奈 独 凄然
罗浮 翠羽 日 啾啾|饱食 梅花 亦复 愁|不见 美人 来 树下|月明 寒作 泪 光流
溪涨 生鱼 雷 殷殷|林风 呼鸟 叶 刁刁|禳田 愿作 豚蹄 祝|丰歉 关心 到 里谣
闽中 谱殊 盛|唐相 赋初 工|万点 凝霞 赤|三危 滴露 丛
林下 曾 相见|重来 记 往年|笑谈 俱 是法|去住 本 无缘
岭水 常时 急|蛮山 是处 高|户输 无 翠羽|溪瘴 有 黄茅
黄山 向晚 盈轩 翠|黟水 含春 绕槛 流|遥想 玉堂 多 暇日|花时 谁伴 出城 游
檐云 叆叇 倚 江边|篱菊 萧疏 暮柳 前|汉上 抱来 空 有瓮|成都 卜后 并 无钱
菊地 才通 履|茶房 不 垒阶|凭医 看蜀 药|寄信 觅吴 鞋
平地 变 丘壑|安排 若 自然|为山 移 白石|凿沼 贮 清泉
皇州 月 初晓|处处 鼓钟 喧|树出 蓬莱 殿|城开 阊阖 门
坐触 鸳鸯 起|巢倾 翡翠 低|莫须 惊 白鹭|为伴 宿 清溪
书铭 临 瘗鹤|弦调 寄 啼乌|苟乐 无他 志|尘嚣 觉 异途
上番 宫女 捲帘 时|闪闪 寒鸦 拂晓 啼|才索 赭迎 催进 辇|紫宸 门外 报 班齐
屹立 虚亭 跨 野塘|萧萧 爽爽 似 潇湘|从教 密种 千竿 竹|不蔽 山光 与 水光
饱吃 芹宫 饭|饥寒 未 迫身|公侯 方重 老|妻子 莫忧 贫
日落 邀 双鸟|楼空 卷 片烟|下方 何处 是|灯火 郭 门前
登高 立马 瞰 晴川|四面 平林 接 暝烟|东望 不堪 频 极目|归心 已度 鸟飞 前
晕消 旧习 风前 箨|怒长 新功 雨后 竿|头角 崭然 真 小友|雪霜 岁晚 更相 观
剪却 牡丹 春事 休|莺应 惆怅 蝶 应羞|绿阴 满地 无人 见|倚遍 栏干 独自 愁
行逢 嘉树 韶华 动|坐傍 高云 客思 愁|鐡瓮 不孤 开 大府|紫宫 遥拱 对 神州
映台 芳草 萋萋 碧|隔树 明霞 霅霅 红|无限 游人 增 感慨|一杯 为酹 夕阳 中
七旬 有二 传 凶问|九月 初三 记 诞辰|客里 偶然 逢 此日|淮思 江望 泪痕 新
空山 朱戟 影|寒碛 铁衣 声|度水 逢 胡说|沙阴 有 伏兵
滩声 撼月 向 西风|木叶 萧萧 到 短篷|无限 秋怀 孤枕 客|村鸡 啼晓 水 云中
屋破 深山 里|门无 车马 尘|谁知 青 竹坞|中有 白 莲人
夕佳 亭畔 驻 游车|莺宿 梅边 品抹 茶|垂老 未甘 才思 尽|犹将 绮语 付 狂花
岛间 应有 国|波外 恐无 天|欲作 乘槎 客|翻愁 去 隔年
墟落 生烟 昼 欲昏|乱山 行尽 到 平原|雨馀 叠嶂 添 新秀|水落 寒沙 见 旧痕
永日 无他 念|孤清 吏隐 心|竹声 并 雪碎|溪色 共 烟深
山屐 已教 休泛 蜡|柴车 从此 不须 巾|仙尘 佛劫 同归 尽|坠处 何须 论 厕茵
千花 万卉 已 俱亡|独占 秋光 点点 黄|露冷 霜浓 难 著脚|甘心 宁耐 此 荒凉
虽无 郭泰 楫|尚有 吕安 轮|寄语 云门 胜|应催 发兴 新
江湖 浪迹 几 星霜|拂袖 归来 觅 上方|行庙 有碑 昭 大节|老松 无叶 庇 僧廊
深下 帘波 一事 无|愁霖 添得 睡 工夫|堂坳 水聚 黑 蝌蚪|墙角 树鸣 青 鹁鸪
夜雨 滂沱 一 若倾|朝来 南亩 足 春耕|相呼 荷耒 奔趋 急|便与 担秧 插莳 盈
况值 清明 后|酣歌 烂熳 春|相看 三月 暮|过我 勿言 频
宿雾 千山 晓|春霖 一夜 愁|离情 方 浩荡|莫说 去 刀州
蕊珠 宫殿 月 茫茫|我道 分明 即 故乡|花里 便为 仙 世界|云边 堪想 古 衣裳
晚避 高丽 使|春乘 百济 舟|王孙 与 芳草|相忆 可能 留
白云 深不 极|篱落 数家 村|风俗 有 遗朴|儿童 亦 候门
欲问 移居 意|还应 避俗 喧|相期 唯有 月|夜夜 在 高原
养拙 贫 无事|深幽 乐 更真|檐巢 偷 哺子|树啄 巧 藏身
竹棚 人 卖酒|花笠 妇 移秧|近日 频 来往|春归 有底 忙
雪花 寒 送蜡|梅萼 暖 生春|岁晚 江村 路|云迷 景 更新
花飞 已悟 春 如梦|漏永 翻怜 夜 似年|十二 玉楼 歌吹 寂|银蟾 无语 下 西偏
闲地 占将 真 可惜|幽窗 分得 始 为明|殷勤 好长 来年 桂|莫遣 平人 道 不平
遍野 桑畴 青幄 密|连天 麦垄 绿云 深|王孙 喜雨 登楼 宴|贳酒 黄垆 解带 金
雪窗 痴坐 拨 寒灰|万斛 清愁 扫 不开|排遣 此怀 将 底物|凭君 催送 曲 生来
临岐 仍 犯雪|挂席 始 离尘|共泣 东风 别|同为 沧海 人
旧游 屈指 凋零 尽|旷达 风流 苦忆 君|十二 巫峰 漫 罗织|好春 还我 梦中 云
六日 雨兼 雪|今晨 忽 放晴|风吹 群沴 散|日射 四山 明
人迹 真空 巷|宵征 类过 墟|如闻 探 雀鷇|微命 信 斯须
有命 如 朝露|天依 类 断蓬|缅怀 知我 者|荣辱 杳 难同
旭日 晞 玄发|名山 秘 硕肤|病鸱 乘鬼 气|凉月 向人 呼
一舸 乘凉 载 夕晖|晚来 白汗 稍 停挥|近人 初月 当头 照|趁宿 轻鸥 直下 飞
耆旧 今 零落|风流 近 所无|歌诗 到 元白|字画 逼 欧虞
隔水 楼台 映 翠微|山桃 风暖 欲 花飞|一溪 春水 深 无主|却被 诗人 载得 归
冶叶 拥 香苞|盈盈 二月 交|相思 意 安在|试去 想 花梢
少微 星 忽坠|畴昔 梦 初圆|乡社 崇 新祭|书帷 掩 旧编
生来 双笋 几 经春|直上 云霄 无 藓痕|若使 坚刚 解 成竹|人应 唤作 两 龙孙
已矣 悲 吴馆|谁欤 护 北门|庆源 流 未艾|文献 蔼 诸孙
坤舆 聊 底定|鼎祚 又 更新|五代 无 真主|世宗 差 可人
近竹 时 闻雨|听钟 致 洗心|浮生 如 有待|何处 问 青禽
顾曲 可曾 妨 快饮|穷经 从未 废 闲吟|诸君 俗事 骎骎 逼|未必 茱萸 得共 簪
漂母 今 何有|王孙 空 自怜|日高 亭 欲午|寒屋 灶 无烟
道德 文章 百代 宗|潮人 世世 独钟 公|蓝关 早料 余 骸骨|岭海 翻垂 不 朽功
自从 孤竹 夷齐 死|清节 何人 萃 一门|惟有 此君 无 俗韵|至今 风味 属 诸孙
茝兰 哀怨 接 湘累|几日 浮邱 挹袂 来|万古 关门 蹲 虎豹|百篇 藏箧 走 风雷
入郭 归来 欲 暮天|数峰 残照 半 溪烟|悠然 濯足 沧浪 上|怕带 黄尘 上 钓船
已怕 宿妆 添 蝶粉|更堪 暖蕊 闹 蜂声|一般 疏影 黄昏 月|独爱 寒梅 恐 未平
文章 落落 昌 黎老|风物 萧萧 李 谪仙|二子 本来 为 独擅|使君 才力 已 双全
白烟 弥漫 接 天涯|黯黯 长空 一道 斜|有似 钱塘 江上 望|晚潮 初落 见 平沙
容易 秋风 感 客心|萧萧 木叶 下 疏林|从今 一任 泥涂 辱|忘却 炎天 借 绿阴
大暑 流 金石|寒风 结 冻云|梅花 香度 远|自有 一枝 春
解琴 弹 膝上|把酒 话 灯前|洗净 尘埃 面|看山 且勿 眠
莫谩 惊人 只 自惊|黄华 采得 更 餐英|心安 未藉 参禅 力|肉搏 终须 用 短兵
云梯 面面 礼 弥陀|犹是 开皇 窣堵 波|诸佛 慈悲 竟 何事|坐看 十度 换 山河
意外 劳 相访|秋风 人正 闲|喜深 无 一语|惊定 始 开颜
干戈 载戢 世 平康|神骏 无羁 尽 脱缰|新水 满沟 春草 绿|风光 好似 华 山阳
玅高 日影 招 多景|甘露 玄言 落 远洲|持节 江干 浑 不寐|邀同 壮士 击 中流
在昔 得名 齐|连墙 亦共 蹊|修篁 同 碧嶂|寒溜 合 清溪
缓歌 玉树 翻 新曲|趣入 金銮 续 旧书|官达 故人 稀 会面|君来 相见 肯如 初
行到 山危 仆 已痡|此身 强健 不须 扶|回头 指顾 重冈 险|得似 人心 险 也无
种心 心与 爱花 殊|日掩 重门 一事 无|随意 栽培 随意 长|何须 检点 费 工夫
禁籞 羞 黄鹄|烟波 负 白鸥|归人 不 相待|先傍 钓 渔舟
平生 空 四海|红紫 委 如尘|梅处 生 新敬|宁非 具 限人
骨肉 能相 保|精灵 自可 招|尚平 家累 重|身后 恐 飘摇
入春 经 九日|此日 始名 春|冻宿 荄 微动|春迟 绿 未匀
不近 郭城 催 就稼|因留 山水 数 登楼|笛声 从此 参差 甚|容易 月明 人尽 愁
短干 长枝 任 剪裁|春成 手底 发 根荄|何人 传得 长生 术|造化 功奇 善 接胎
身病 常须 药|囊空 未赎 琴|明朝 镜中 发|饱受 雪霜 侵
四世 风流 在|诸生 礼数 严|归来 谢 宾客|长日 下 疏帘
淳熙 人物 到 嘉熙|听说 山斋 亦 白髭|文字 尽传 融水 后|精神 如战 辟雍 时
我生 怜 曲蘖|刚置 自 中年|破屋 鸣春 溜|阴崖 响夜 泉
帘影 媚 花坞|箫声 围 柳堤|更看 田 水满|一色 早 秧齐
山光 著意 青 依屋|溪水 何心 绿 到门|报答 春晖 无 一事|年年 花下 共 开樽
江流 日日 上 平芜|细径 侵沙 渐欲 无|袅袅 紫苞 开露 笋|森森 青节 乱风 蒲
古人 但惧 放 边陲|难得 苏公 赞 绝奇|瘴雨 蛮烟 开 眼界|海珍 怪果 快 馋颐
吟馀 画角 吹 残月|醉里 红灯 炫 绮罗|此乐 直须 年少 壮|嗟余 心志 已 蹉跎
咸阳 龙虎 此 飞升|二弟 东山 道 亦成|不见 棠梨 司命 宅|空馀 丹井 一泓 清
秋色 在 何许|蓼花 含 浅红|客情 禁 不得|归兴 逐 西风
拚醉 不须 酒|无心 亦似 秋|他年 回首 处|风起 绿榕 洲
石室 寒 仙迹|离宫 没 草痕|偶依 华盖 麓|真辟 洞天 门
玉殿 珠楼 漾 水光|翠华 来幸 拂 天香|高皇 魂魄 应思 沛|时有 祥云 护 此方
独坐 绿阴 下|追思 秋日 春|眠蚕 方 放大|早麦 欲 尝新
不作 梅花 一句 诗|今年 参透 老 禅机|忽然 吹堕 纷纷 雪|又挽 寒香 探 落晖
破屋 堆 黄叶|清江 缭 白沙|殷勤 邀 一醉|蜑酒 压 梨楂
谷粟 豪家 须落 价|鱼虾 近市 不论 钱|若将 汗简 书 奇绩|太史 文章 笔 似椽
空巢 霜 叶落|疏牖 水 萤穿|留得 林僧 宿|中宵 坐 默然
燕市 风尘 愁 欲去|竹西 歌吹 问 如何|士衡 入洛 无 消息|长听 柴门 白 玉珂
古槐 永巷 暮蝉 愁|一叶 相飞 已报 秋|莫上 翠楼 凭几 望|当时 七夕 笑 牵牛
湖上 园亭 好|重来 忆 旧游|徵歌 调 玉树|阅舞 按 梁州
香含 暮雨 栏边 散|艳倚 春风 鬓上 斜|闻说 樽前 偏属 党|青黄 朱粉 更无 花
始兴 溪子 下江 淮|曾为 东南 再造 来|如虎 如熊 今 固在|将军 何处 上 金台
海气 连云 合|龙沙 抱日 悬|中原 旧 丰沛|何处 拟 辽天
雨深 愁入 树 花飘|尽际 翻晴 现帝 霄|目力 壮时 苍 岫长|心情 闲处 戏 鱼跳
湿带 秋痕 绿 可庭|花阴 竹色 借 鲜明|簪抽 翠笋 愁 穿破|茵拓 青丝 喜 剪成
清绝 门墙 冷 似冰|野人 怀刺 昔曾 登|新题 对雨 分 萧寺|旧梦 经秋 说 杜陵
功名 不 垂世|富贵 但 堪伤|底事 杜陵 老|时时 矜 省郎
但闻 苏武 辞 金阙|不见 班生 入 玉门|紫塞 黄榆 千万 里|沈阳 花月 欲 消魂
束书 归计 将 招隐|执戟 何心 更 解嘲|乡里 永冠 还 此会|几人 京洛 念 穷交
白鸟 飞飞 映 彩虹|半竿 斜日 鲤鱼 风|采菱 浦口 无人 渡|闲却 沧浪 一钓 蓬
暮雨 过 前溪|春云 四野 低|望开 山更 合|看出 树重 迷
英雄 埋没 龙 长卧|道学 榛芜 鹿 自眠|访古 归来 春意 动|倚峰 要了 看山 缘
蘧芦 时 一宿|云水 日 三迁|顾我 只 如此|伊人 胡 不然
春暖 披香 殿|夜寒 长信 宫|帝方 安 祸水|妾敢 怨 秋风
桃柳 溪 空在|芙蓉 客 暂依|谁怜 济川 楫|长与 夜舟 归
枯柳 无风 影 不摇|败墙 颓屋 意 萧萧|忽然 唤醒 承平 梦|犹有 红栏 夹 画桥
朅来 忠力 岂 忧危|人似 登仙 马似 飞|却是 玉溪 梅 正发|未曾 攀折 候 公归
师友 论 深谊|吹嘘 感 此翁|十年 京 国路|寄我 百 诗筒
物外 何须 竞|尘中 祇自 忙|老僧 参 不透|犹尔 念 金刚
谷雨 晴时 春 昼长|鹧鸪 啼处 百花 香|谁能 为唤 渠侬 起|共对 东风 笑 一场
胜日 寻僧 到 上方|满山 空翠 湿 衣裳|树围 西崦 春云 绿|花落 平池 暮雨 香
忽惊 蒙水 新衔 宠|恍忆 巴山 旧印 荣|翠幕 红灯 莫 相问|风流 何似 十年 情
儿子 随 行李|乡邻 且 浊醪|长材 能 制锦|何惮 折腰 劳
白日 晞 朝露|黄埃 掩 夜台|已辞 班 第一|内殿 不须 催
称心 不独 烟霞 媚|适口 仍逢 笋蕨 肥|两日 正当 寒食 日|家园 忘却 有 芳菲
吴俗 春来 斗 画船|疾驱 波上 若 飞烟|去春 放逐 曾观 此|伐鼓 声中 又 一年
玉环 迷恨 马嵬 坡|出塞 明妃 泪 更多|何似 阿婆 牛背 稳|春风 一曲 太平 歌
政出 黔黎 喜|名高 夷狄 愁|案巡 边 万里|风雪 破 貂裘
春到 人间 倩月 传|菁华 五夜 雪为 先|山光 半扫 寒云 色|江影 遥涵 碧树 烟
漫垂 玉笋 蓬 檐下|几误 痴人 路 阱边|此景 须当 共君 醉|京华 路远 愧吾 钱
休疑 美玉 栖 顽璞|几见 繁花 舞 乱风|坐我 池亭 看镜 水|白云 何处 觅 高峰
重入 都门 又 许时|旧巢 新燕 欲 何之|清风 忽送 苕溪 便|满纸 云烟 七字 诗
人语 华番 杂|虫声 远近 喧|如何 马 太史|犹未 识 昆仑
生长 邯郸 二十 春|平原 那贵 卖浆 人|黄金 未必 如 肝胆|且共 开樽 醉 锦茵
写得 衰容 似 十全|闲开 僧舍 静时 悬|瘦于 南国 从军 日|老却 东堂 射策 年
逐客 经年 多 闭户|故人 何日 共 登台|壮心 零落 时 犹在|笑拂 吴钩 醉 数杯
云作 芙蓉 蒂|湖开 白 玉盘|天从 双石 入|人以 一泉 寒
湖水 攲斜 应 有意|春光 漏泄 不 无因|绛帷 幸许 天荒 破|日日 当为 问 道人
问方 医 病竹|邮水 泛 春茶|一室 沉 香气|青烟 吐白 纱
佛郎 通 上国|万里 进 龙媒|晓日 开 阊阖|虹光 射 玉台
云归 龙 泽寺|风引 墨池 船|谁识 行藏 妙|空惊 岁序 迁
未成 投辖 饮|时作 拨书 眠|野鹤 如 双鬓|衰迟 祇 自怜
松花 千树 发 轻黄|乍暖 风来 细细 香|但是 游蜂 喧 过午|不知 飞鸟 下 斜阳
南山 唯与 北山 邻|古树 连拳 伴我 身|黄鹤 有心 多 不住|白云 无事 独 相亲
惨惨 江天 散 六花|磷磷 寒碧 不藏 砂|扁舟 蓑笠 撑 何去|应向 溪头 问 酒家
瑠璃 万宝 通明 殿|珠翠 千层 罨画 楼|匝地 薰天 月 灯影|撼山 填郭 蚁 蜂稠
月榻 空 窥户|莺林 可 听歌|烟霞 怀 夙约|岁律 愧 蹉跎
诸公 岂 易得|十载 是 重来|醉倒 忘归 路|呼童 认 屐苔
德星 堂下 种 成林|奕叶 相传 几世 阴|岁岁 锦绷 添 稚子|生成 全藉 此君 心
右丞 小景 树 参差|我有 林塘 实 似之|日日 欲归 还 蹭蹬|时时 借看 解 愁思
古径 秋霜 滑|空山 暮霭 浓|沧浪 棋 石在|题笔 暗 尘封
自愧 霜髭 难更 黑|谁怜 粉面 不长 红|岂惟 画史 愁 传貌|兼使 诗人 费尽 功
扪烛 有人 讥 将略|挂冠 何日 绾 兵符|英魂 万古 云霄 在|雒诵 遗篇 夜起 吾
水复 山重 博 克图|此邦 约略 小成 都|再添 云树 三千 尺|得似 嘉陵 粉本 无
风雨 灵旗 壮|星辰 碧落 悬|故园 何日 返|重访 旧 林泉
爱汲 清深 临 石井|不辞 淡薄 倒 银瓶|客来 应笑 痴狂 甚|壁上 烟峦 兀自 青
炎炎 畏日 树将 焚|却恨 都无 一点 云|强跨 蹇驴 来 得到|皆疑 渴杀 老 参军
太山 均 蚁垤|圣域 亦 蘧庐|兀坐 还成 倦|荒畦 去 荷锄
平生 亲契 保 初终|梦幻 凋零 念 德宫|朝路 时来 陪 圣相|家山 老去 逐 逋翁
五行 四象 外边 寻|只在 当人 一 寸心|运用 阴阳 成 妙道|直教 瓦砾 尽成 金
云锦 同梯 得 旧游|旋供 帘月 泛琼 瓯|莫言 官事 兼私 事|五老 峰前 一醉 休
荷珠 圆复 碎|攲侧 动 相关|去似 临江 失|来如 合浦 还
鼙鼓 初归 塞上 师|京江 酒美 胜 年时|春来 逆旅 真 无事|身到 名山 合 有诗
风日 薰 南浦|魂消 瑟瑟 波|被留 青翰 宿|香待 博山 过
清媚 知 无敌|披丽 寔 可怜|易方 唯 月里|难写 是 风前
冷蕊 何心 识 老逋|芳名 从此 落 西湖|风霜 未改 幽 坚操|弟立 花前 讳 玉奴
几年 奔逐 愧 飞黄|去矣 怜君 酒 一觞|但使 高台 收 骏骨|何言 末路 有 羊肠
逺忆 淮南 后土 祠|君归 今已 发 琼枝|好寻 月下 吹箫 处|犹及 花前 把酒 时
江城 送客 日西 斜|一片 孤帆 去 永嘉|泽国 舟中 无 薏苡|官桥 雪后 有 梅花
幸有 奇 花木|能将 远客 招|佛桑 然 似火|铁树 挺 于蕉
覆阑 纤弱 绿 条长|带雪 冲寒 折 嫩黄|迎得 春来 非 自足|百花 千卉 共 芬芳
迎步 绮罗 无 旧态|随轩 丝竹 有 新声|野人 相见 忻 还愧|为爱 交情 似 世情
渐远 青塘 路|篷窗 懒 更开|山烟 孤塔 回|湖色 乱帆 来
华屋 春 将尽|纱窗 日易 昏|不知 多少 恨|相见 与君 言
汉家 甲令 议 蠲烦|曹札 沈迷 拥 昼轩|城旦 千条 纷 未举|始知 黄老 得名 言
箔雾 双鸾 出|裾风 一燕 翔|锦屏 围 烛艳|笙鼓 改 华妆
铜柱 崖前 使节 过|贡随 归骑 入京 多|一官 暂遣 陪 成瑨|片语 曾烦 下 赵陀
开国 何其 忝|笺天 未必 俞|缴还 三百 户|换赐 一千 株
持家 不废 夜窗 书|未了 功名 志竟 违|是处 青山 曾对 饮|祇今 白羽 为谁 挥
物意 如相 乐|吾生 有底 愁|早分 好 风月|更上 庾公 楼
草堂 不在 万山 峰|时有 幽人 步 往踪|雨压 墙烟 笼 薜荔|石行 渠水 鉴 芙蓉
三十 三年 成 契阔|相逢 一笑 万 惊疑|犹能 健在 殊 堪慰|不话 风云 只 话诗
清溪 掀倒 打油 房|五卫 凋零 三径 荒|未信 塞翁 嗟 失马|须知 御寇 觅 亡羊
叶岭 书翻 昨夜 风|主人 应辟 出山 中|长淮 再定 因 前画|小邑 频难 试 后功
无心 还 是妄|有说 却 非真|识得 西 来意|时时 景物 新
石竹 为花 品最 微|当时 曾入 谪仙 诗|新葩 竞发 迷 形似|紫蝶 翩翾 缀碧 枝
苦雨 初闻 唤妇 鸠|红妆 满院 木蕖 秋|樽前 不记 崔思 立|应在 诸山 最 上头
图开 崧岳 丹霞 古|梦入 花源 紫洞 虚|带却 清风 满 城郭|门前 时许 驻 高车
生来 不啜 猩猩 酒|老去 那营 燕燕 巢|目断 鹿门 三 太息|庞公 千载 可 论交
雾豹 文章 异|渊鲸 爪 角雄|荒陂 寒 泣露|空谷 暮 号风
密云 依 小屋|荒井 发 虚烟|记得 庐山 麓|松高 看 鹿眠
一水 细 通潮|帆低 屡 过桥|阴阴 榕 影下|渔父 不 相招
昌平 山水 是 天留|海岳 朝宗 此 帝丘|一代 无人 知 日月|诸陵 有尔 即 春秋
从来 怀古 意|须借 浊醪 浇|辱学 淮阴 忍|贱凭 韦陟 骄
诗占 城南 首|音参 古磬 枚|宜添 两 学士|相约 访 蓬莱
地占 灵龟 背|山横 小 屿头|一桥 云 借路|双沼 月 分秋
青溪 一曲 亦 天河|往日 张星 此 影娥|芳草 又教 南苑 失|飞花 曾拂 翠华 过
尚书 两世 大名 垂|乔木 干云 荫后 枝|处处 遗碑 应 好在|知君 不是 狄公 儿
朝入 翠微 畔|钩辀 雨外 鸣|声声 行不 得|去去 若为 情
平安 两字 讬 鱼笺|回首 萱闱 倍 黯然|怕向 高楼 卷帘 望|青山 遮断 白 云天
二月 为云 为雨 天|木绵 如火 柳 如烟|烹茶 自爱 天中 水|不用 开门 汲 涧泉
虚室 冷 云边|消闲 读 太玄|未须 求 甚解|聊复 竟 馀篇
阿连 闻说 有 归期|准拟 俱来 赋 此诗|已是 欲行 还 小住|纵令 频合 故 伤离
晴江 望不 极|滉漾 照 愁人|黄鸟 声 初动|青梅 味 已新
老眠 早觉 常残 夜|病力 先衰 不待 年|五欲 已销 诸 念息|世间 无境 可 勾牵
荒外 开 亭候|云南 降 旆旌|他时 功 自许|绝域 转 哀荣
柳变 曲 江头|送君 函谷 游|弄琴 宽 别意|酌醴 醉 春愁
灌溉 难为 力|荣枯 只问 天|传闻 春 夏日|比岁 雨 绵绵
